code,food_group,reference,food_item_name,moisture_g,energy_kcal,energy_kj,nitrogen_g,protein_g,fat_g,safa_g,mufa_g,pufa_g,cholesterol_mg,carbohydrate_total_g,carbohydrate_available_g,total_sugar_g,added_sugar_g,fiber_g,starch_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mcg,iodine_mcg,selenium_mcg,vitamin_a_rae_mcg,vitamin_a_re_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_b6_mg,folate_mcg,vitamin_b12_mcg,pantothenate_mg,biotin_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,phytate_mg,data_quality_flags
MW07_0024,Baby foods,ZA,"Baby food (jar), 7 months, pear",83.0,60,255,0.00,0.0,0.0,,,,,15.0,12.0,,,3.0,,0.2,12,0.4,12,18,191,1,0.12,0.10,,,,1,2,0.019,0.04,0.3,0.012,,0.0,0.13,,36,0.00,,,
MW07_0025,Baby foods,ZA,"Baby food (jar), 7 months, sweet potato",88.2,36,153,0.16,1.0,0.0,0.00,,,,8.0,7.5,5.00,,0.5,,0.2,12,0.3,10,19,204,0,0.16,0.06,,,,250,500,0.02,0.03,0.3,0.072,,0.0,0.30,,8,0.00,,,
MW07_0026,Baby foods,ZA,"Baby food (jar), 7 months, vegetables & beef",88.5,36,153,0.14,0.9,0.5,0.30,,,,7.0,6.9,0.70,,0.1,,0.2,13,0.3,8,25,111,19,0.29,0.02,140,,,188,376,0.01,0.04,0.6,0.048,2,0.1,0.08,,0,0.00,,,
MW07_0027,Baby foods,ZA,"Baby food (jar), 7 months, vegetables & chicken",88.5,42,178,0.42,2.6,0.4,0.10,,,,7.0,6.3,0.50,,0.7,,0.3,24,0.5,12,41,139,41,0.42,0.06,130,,,182,363,0.03,0.05,0.6,0.063,,0.0,0.09,,0,0.09,,,
MW07_0028,Baby foods,ZA,"Baby food (jar), 8 months, apple",86.5,50,213,0.05,0.3,0.1,,,,,12.0,10.8,10.90,,1.2,,0.1,6,0.3,4,8,99,0,0.05,0.05,,,,2,0,0.02,0.04,0.01,0.049,0,0.0,0.12,,61,0.00,0.95,,
MW07_0029,Baby foods,ZA,"Baby food (jar), 8 months, apple & banana",81.9,71,300,0.06,0.4,0.1,,,,,17.0,15.8,15.68,,1.2,,0.3,3,0.1,9,10,76,1,0.05,0.03,,,,2,3,0.02,0.02,0.1,0.064,0,0.0,,,13,0.00,0.02,,
MW07_0030,Baby foods,ZA,"Baby food (jar), 8 months, fruit & yoghurt",90.6,37,159,0.14,0.9,0.2,0.10,,,,8.0,7.7,4.60,,0.3,,0.4,28,0.2,4,22,62,0,0.11,0.02,,,,5,8,0.02,0.05,0.1,0.040,0,0.0,,,12,0.00,0.13,,
MW07_0031,Baby foods,ZA,"Baby food (jar), 8 months, fruit salad",81.9,67,283,0.06,0.4,0.1,,,,,16.0,14.8,,,1.2,,0.1,11,0.3,5,9,62,1,0.05,0.03,,,,1,0,0.01,0.03,0.1,0.033,0,0.0,0.10,,20,0.00,,,
MW07_0032,Baby foods,ZA,"Baby food (jar), 8 months, peach",84.5,38,160,0.19,1.2,0.1,,,,,8.0,6.4,7.60,,1.6,,0.6,4,0.3,8,17,216,0,0.12,0.03,41,,,38,76,0.02,0.09,1.8,0.020,0,0.0,0.09,,51,0.00,2.19,,
MW07_0033,Baby foods,ZA,"Baby food (jar), 8 months, pear",81.9,63,266,0.06,0.4,0.1,,,,,15.0,12.1,10.88,,2.9,,0.5,12,0.4,12,19,203,1,0.12,0.10,,,,2,2,0.02,0.04,0.3,0.012,0,0.0,0.14,,38,0.00,0.14,,
