code,food_group,reference,food_item_name,moisture_g,energy_kcal,energy_kj,nitrogen_g,protein_g,fat_g,safa_g,mufa_g,pufa_g,cholesterol_mg,carbohydrate_total_g,carbohydrate_available_g,total_sugar_g,added_sugar_g,fiber_g,starch_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mcg,iodine_mcg,selenium_mcg,vitamin_a_rae_mcg,vitamin_a_re_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_b6_mg,folate_mcg,vitamin_b12_mcg,pantothenate_mg,biotin_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,phytate_mg,data_quality_flags
MW07_0078,Baby foods,ZA,"BMS, whey-predominant formula, S-26 Classic 1, reconstituted/100mL",90.0,66,278,0.24,1.5,3.6,1.60,1.00,0.70,0,7.0,7.0,,,0.0,,0.2,46,0.8,6,33,70,16,0.60,0.06,5,,,,75,0.10,0.15,0.5,0.060,8,0.2,0.30,2.0,9,1.10,0.74,,
MW07_0079,Baby foods,ZA,"BMS, whey-predominant formula, S-26 Comfort Gold, powder",2.0,520,2175,1.92,12.0,28.0,12.50,10.00,5.30,37,55.0,55.0,,,0.0,,1.5,328,6.3,35,188,508,125,4.70,0.34,39,,,,516,0.78,0.86,3.9,0.430,84,1.4,2.73,16.0,70,8.30,5.80,,
MW07_0080,Baby foods,ZA,"BMS, whey-predominant formula, S-26 Comfort Gold, reconstituted/100mL",90.0,67,279,0.26,1.6,3.6,1.60,1.30,0.70,5,7.0,7.0,,,0.0,,0.2,42,0.8,5,24,65,16,0.60,0.04,5,,,,66,0.10,0.11,0.5,0.550,11,0.2,0.35,2.0,9,1.10,0.70,,
MW07_0081,Baby foods,ZA,"BMS, whey-predominant formula, S-26 Gold 1 powder",2.0,526,2200,1.71,10.7,28.8,12.60,8.10,6.30,3,56.0,56.0,,,0.0,,1.6,336,6.4,36,192,520,128,4.80,0.27,40,,,,528,0.80,0.88,4.0,0.440,86,1.4,2.80,16.0,72,10.00,5.90,,
MW07_0082,Baby foods,ZA,"BMS, whey-predominant formula, S-26 Gold 1, reconstituted/100mL",90.0,66,274,0.21,1.3,3.6,1.60,1.00,0.80,0,7.0,7.0,,,0.0,,0.2,42,0.8,5,24,65,16,0.60,0.03,5,,,,66,0.10,0.11,0.5,0.055,11,0.2,0.35,2.0,9,1.20,0.74,,
MW07_0083,Baby foods,R70,"Maize soft porridge, with egg & vegatable, (Phala lamgaiwa loika mazira ndi masamba)",82.4,93,391,0.51,3.2,4.9,0.28,0.54,1.81,,9.2,8.5,,0.00,0.7,,0.3,108,3.5,71,29,75,19,0.59,0.07,,1.06,0.3,19,0,0.07,0.08,0.2,0.054,9,0.2,,,1,,1.30,,added_sugar_g:assumed
MW07_0084,Baby foods,R69,"Rice porridge, with carrot, milk & groundnut flour, (Phala la mpunga lothira kaloti, mkaka ndi nsinjilo)",88.8,52,221,0.25,1.6,1.8,,,,,7.6,6.7,,0.00,0.8,,0.3,19,0.3,21,44,89,12,0.28,0.07,94,1.03,0.0,3,469,0.04,0.04,0.4,0.038,5,0.0,0.01,0.4,1,,0.41,,added_sugar_g:assumed
MW08_0001,Miscellaneous,3,"Fortificant premix, IS-353, DSM",5.0,0,0,0.00,0.0,0.0,,,,,0.0,0.0,,0.00,0.0,,,,19.3,,,,,8.29,,,,,1,,,,,,1100,,,,,,,0.00,added_sugar_g:assumed;fiber_g:assumed;phytate_mg:assumed
MW08_0002,Miscellaneous,25,"Ready-to-use therapeutic food (RUTF), milk, maize, soya, sorghum (MSMS)",2.9,553,2306,2.66,16.6,36.0,15.50,12.60,4.09,,40.7,35.9,,20.50,4.8,,3.8,399,31.6,119,493,1070,52,19.90,1.50,1350,100000.00,25.0,,1160,1.12,1.97,7.9,0.930,200,2.6,4.73,81.0,306,17.80,39.00,3,
MW08_0003,Miscellaneous,25,"Ready-to-use therapeutic food (RUTF), milk-free, soya, maize, sorghum (FSMS)",2.2,547,2280,2.94,18.4,34.2,13.50,11.50,5.58,,41.3,34.2,,22.50,7.1,,3.9,571,35.1,104,503,991,87,19.50,1.48,1710,100000.00,26.0,,1250,1.28,1.63,7.5,0.990,210,2.5,5.36,86.0,323,19.20,39.00,5,
MW08_0004,Miscellaneous,25,"Ready-to-use therapeutic food (RUTF), peanut, milk (PM)",1.1,547,2281,2.50,15.6,33.8,11.00,18.20,3.16,,45.0,43.1,,25.00,1.9,,3.9,434,10.5,97,351,1125,131,11.10,1.60,,85000.00,27.0,,1180,0.97,3.20,7.6,0.660,268,3.2,4.50,80.0,87,18.70,35.00,3,
MW08_0005,Miscellaneous,24,"Sugar, brown, fortified, (Shuga wa bulawuni)",0.0,400,1699,0.03,0.2,0.0,,,,,99.8,99.8,,0.00,0.0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,added_sugar_g:assumed;fiber_g:low_confidence
MW08_0006,Miscellaneous,24,"Sugar, white, fortified, (Shuga woyera)",0.0,400,1699,0.03,0.2,0.0,,,,,99.8,99.8,,0.00,0.0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,added_sugar_g:assumed;fiber_g:low_confidence
MW08_0007,Miscellaneous,9,"Sugarcane, raw, Saccharum offici- narum, (Mzimbe)",90.0,40,169,0.05,0.3,0.0,,,,,9.6,9.6,,0.00,0.0,,0.1,8,0.6,,18,,,,,610,,,0,,,,,,,0.0,,,7,,,,added_sugar_g:assumed;fiber_g:low_confidence
MW08_0008,Miscellaneous,10A,"Water, (Madzi)",100.0,0,0,0.00,0.0,0.0,0.00,0.00,0.00,0,0.0,0.0,0.00,0.00,0.0,0.00,0.0,4,0.0,3,0,0,0,0.00,0.00,0,1.54,0.0,0,0,0.00,0.00,0.0,0.000,0,0.0,0.00,0.0,0,0.00,0.00,0,nitrogen_g:assumed;protein_g:assumed;fat_g:assumed;safa_g:assumed;mufa_g:assumed;pufa_g:assumed;cholesterol_mg:assumed;carbohydrate_total_g:assumed;carbohydrate_available_g:assumed;total_sugar_g:assumed;added_sugar_g:assumed;fiber_g:assumed;starch_g:assumed;vitamin_a_rae_mcg:assumed;vitamin_a_re_mcg:assumed;thiamin_mg:assumed;riboflavin_mg:assumed;niacin_mg:assumed;vitamin_b6_mg:assumed;folate_mcg:assumed;vitamin_b12_mcg:assumed;pantothenate_mg:assumed;biotin_mcg:assumed;vitamin_c_mg:assumed;vitamin_d_mcg:assumed;vitamin_e_mg:assumed;phytate_mg:assumed
